,alert_id,type_of_alert,status,assigned_to,creation_date,resolution_date,impact_level
67,COMP-ALERT-10067,tax_incident,resolved,team_a,2025-02-19T22:01:15.792952,2025-03-03T22:01:15.792952,high
68,COMP-ALERT-10068,invoice_discrepancy,resolved,team_c,2025-10-19T22:01:15.792952,2025-11-02T22:01:15.792952,high
69,COMP-ALERT-10069,invoice_discrepancy,open,team_b,2024-12-07T22:01:15.792952,2024-12-14T22:01:15.792952,critical
70,COMP-ALERT-10070,tax_incident,resolved,team_a,2024-12-17T22:01:15.792952,2024-12-27T22:01:15.792952,low
71,COMP-ALERT-10071,tax_incident,resolved,external_partner,2025-08-25T22:01:15.792952,2025-08-27T22:01:15.792952,critical
72,COMP-ALERT-10072,missing_document,open,external_partner,2025-01-15T22:01:15.792952,2025-01-23T22:01:15.792952,critical
73,COMP-ALERT-10073,regulatory_review,resolved,external_partner,2025-10-27T22:01:15.792952,2025-11-05T22:01:15.792952,critical
74,COMP-ALERT-10074,invoice_discrepancy,open,team_b,2025-05-29T22:01:15.792952,2025-06-01T22:01:15.792952,medium
75,COMP-ALERT-10075,invoice_discrepancy,in_progress,external_partner,2025-05-19T22:01:15.792952,2025-06-01T22:01:15.792952,critical
76,COMP-ALERT-10076,regulatory_review,in_progress,team_c,2025-03-03T22:01:15.792952,2025-03-17T22:01:15.792952,low
77,COMP-ALERT-10077,tax_incident,open,team_a,2025-09-05T22:01:15.792952,2025-09-10T22:01:15.792952,critical
78,COMP-ALERT-10078,invoice_discrepancy,resolved,team_a,2025-07-14T22:01:15.792952,2025-07-19T22:01:15.792952,medium
79,COMP-ALERT-10079,missing_document,in_progress,external_partner,2025-05-12T22:01:15.792952,2025-05-25T22:01:15.792952,critical
80,COMP-ALERT-10080,regulatory_review,open,team_a,2025-02-22T22:01:15.792952,2025-03-08T22:01:15.792952,high
81,COMP-ALERT-10081,invoice_discrepancy,open,team_a,2025-02-21T22:01:15.792952,2025-03-04T22:01:15.792952,medium
82,COMP-ALERT-10082,regulatory_review,in_progress,team_a,2025-08-07T22:01:15.792952,2025-08-21T22:01:15.792952,high
83,COMP-ALERT-10083,regulatory_review,resolved,team_b,2025-03-06T22:01:15.792952,2025-03-16T22:01:15.792952,high
84,COMP-ALERT-10084,missing_document,resolved,team_c,2025-09-07T22:01:15.792952,2025-09-14T22:01:15.792952,medium
85,COMP-ALERT-10085,regulatory_review,in_progress,external_partner,2025-10-08T22:01:15.792952,2025-10-15T22:01:15.792952,high
86,COMP-ALERT-10086,invoice_discrepancy,resolved,team_a,2025-05-18T22:01:15.792952,2025-05-31T22:01:15.792952,low
87,COMP-ALERT-10087,regulatory_review,resolved,team_a,2024-11-30T22:01:15.792952,2024-12-06T22:01:15.792952,critical
88,COMP-ALERT-10088,missing_document,resolved,team_a,2025-03-21T22:01:15.792952,2025-03-29T22:01:15.792952,medium
89,COMP-ALERT-10089,regulatory_review,open,team_b,2025-10-02T22:01:15.792952,2025-10-10T22:01:15.792952,high
90,COMP-ALERT-10090,tax_incident,open,team_b,2025-06-04T22:01:15.792952,2025-06-15T22:01:15.792952,medium
91,COMP-ALERT-10091,missing_document,resolved,external_partner,2025-05-14T22:01:15.792952,2025-05-26T22:01:15.792952,low
92,COMP-ALERT-10092,invoice_discrepancy,resolved,team_b,2025-08-11T22:01:15.792952,2025-08-22T22:01:15.792952,low
93,COMP-ALERT-10093,missing_document,open,team_b,2025-06-27T22:01:15.792952,2025-07-02T22:01:15.792952,medium
94,COMP-ALERT-10094,missing_document,open,team_a,2025-02-06T22:01:15.792952,2025-02-17T22:01:15.792952,low
95,COMP-ALERT-10095,missing_document,in_progress,team_b,2025-07-12T22:01:15.792952,2025-07-15T22:01:15.792952,low
96,COMP-ALERT-10096,missing_document,open,team_a,2025-09-01T22:01:15.792952,2025-09-03T22:01:15.792952,critical
97,COMP-ALERT-10097,missing_document,in_progress,team_c,2025-07-12T22:01:15.792952,2025-07-15T22:01:15.792952,critical
98,COMP-ALERT-10098,missing_document,resolved,team_a,2025-02-04T22:01:15.792952,2025-02-09T22:01:15.792952,medium
99,COMP-ALERT-10099,missing_document,in_progress,external_partner,2024-10-26T22:01:15.792952,2024-11-10T22:01:15.792952,high
