,alert_id,type_of_alert,status,assigned_to,creation_date,resolution_date,impact_level,region,source
53,COMP-ALERT-10053,regulatory_review,in_progress,team_c,2025-08-07T22:01:15.792952,2025-08-15T22:01:15.792952,medium,BR,Internal_Tracker
54,COMP-ALERT-10054,missing_document,open,team_a,2025-08-30T22:01:15.792952,2025-09-09T22:01:15.792952,low,LATAM,SAP
55,COMP-ALERT-10055,missing_document,in_progress,external_partner,2025-09-25T22:01:15.792952,2025-10-06T22:01:15.792952,medium,BR,SAP
56,COMP-ALERT-10056,invoice_discrepancy,in_progress,team_a,2024-12-16T22:01:15.792952,2024-12-28T22:01:15.792952,high,BR,Vendor_API
57,COMP-ALERT-10057,invoice_discrepancy,resolved,team_c,2025-06-03T22:01:15.792952,2025-06-14T22:01:15.792952,critical,MEX,SAP
58,COMP-ALERT-10058,missing_document,open,team_a,2025-07-12T22:01:15.792952,2025-07-13T22:01:15.792952,medium,LATAM,SAP
59,COMP-ALERT-10059,tax_incident,in_progress,external_partner,2025-07-15T22:01:15.792952,2025-07-28T22:01:15.792952,critical,BR,Vendor_API
60,COMP-ALERT-10060,missing_document,resolved,team_a,2025-03-05T22:01:15.792952,2025-03-08T22:01:15.792952,high,BR,Internal_Tracker
61,COMP-ALERT-10061,regulatory_review,in_progress,team_a,2025-11-13T22:01:15.792952,2025-11-22T22:01:15.792952,medium,BR,Vendor_API
62,COMP-ALERT-10062,invoice_discrepancy,open,team_c,2024-11-18T22:01:15.792952,2024-11-22T22:01:15.792952,medium,BR,SAP
63,COMP-ALERT-10063,invoice_discrepancy,open,external_partner,2024-12-27T22:01:15.792952,2025-01-01T22:01:15.792952,critical,LATAM,Internal_Tracker
64,COMP-ALERT-10064,invoice_discrepancy,resolved,external_partner,2025-10-12T22:01:15.792952,2025-10-21T22:01:15.792952,critical,LATAM,SAP
65,COMP-ALERT-10065,invoice_discrepancy,resolved,team_a,2025-07-15T22:01:15.792952,2025-07-19T22:01:15.792952,critical,MEX,Vendor_API
66,COMP-ALERT-10066,tax_incident,open,team_b,2025-06-08T22:01:15.792952,2025-06-11T22:01:15.792952,high,MEX,SAP
67,COMP-ALERT-10067,tax_incident,resolved,team_a,2025-02-19T22:01:15.792952,2025-03-03T22:01:15.792952,high,LATAM,Vendor_API
68,COMP-ALERT-10068,invoice_discrepancy,resolved,team_c,2025-10-19T22:01:15.792952,2025-11-02T22:01:15.792952,high,BR,Internal_Tracker
69,COMP-ALERT-10069,invoice_discrepancy,open,team_b,2024-12-07T22:01:15.792952,2024-12-14T22:01:15.792952,critical,BR,SAP
70,COMP-ALERT-10070,tax_incident,resolved,team_a,2024-12-17T22:01:15.792952,2024-12-27T22:01:15.792952,low,BR,Internal_Tracker
71,COMP-ALERT-10071,tax_incident,resolved,external_partner,2025-08-25T22:01:15.792952,2025-08-27T22:01:15.792952,critical,BR,SAP
72,COMP-ALERT-10072,missing_document,open,external_partner,2025-01-15T22:01:15.792952,2025-01-23T22:01:15.792952,critical,LATAM,Vendor_API
73,COMP-ALERT-10073,regulatory_review,resolved,external_partner,2025-10-27T22:01:15.792952,2025-11-05T22:01:15.792952,critical,LATAM,Vendor_API
74,COMP-ALERT-10074,invoice_discrepancy,open,team_b,2025-05-29T22:01:15.792952,2025-06-01T22:01:15.792952,medium,BR,SAP
75,COMP-ALERT-10075,invoice_discrepancy,in_progress,external_partner,2025-05-19T22:01:15.792952,2025-06-01T22:01:15.792952,critical,MEX,Vendor_API
76,COMP-ALERT-10076,regulatory_review,in_progress,team_c,2025-03-03T22:01:15.792952,2025-03-17T22:01:15.792952,low,BR,SAP
77,COMP-ALERT-10077,tax_incident,open,team_a,2025-09-05T22:01:15.792952,2025-09-10T22:01:15.792952,critical,MEX,Vendor_API
78,COMP-ALERT-10078,invoice_discrepancy,resolved,team_a,2025-07-14T22:01:15.792952,2025-07-19T22:01:15.792952,medium,BR,Vendor_API
79,COMP-ALERT-10079,missing_document,in_progress,external_partner,2025-05-12T22:01:15.792952,2025-05-25T22:01:15.792952,critical,BR,SAP
80,COMP-ALERT-10080,regulatory_review,open,team_a,2025-02-22T22:01:15.792952,2025-03-08T22:01:15.792952,high,LATAM,Internal_Tracker
81,COMP-ALERT-10081,invoice_discrepancy,open,team_a,2025-02-21T22:01:15.792952,2025-03-04T22:01:15.792952,medium,BR,Internal_Tracker
82,COMP-ALERT-10082,regulatory_review,in_progress,team_a,2025-08-07T22:01:15.792952,2025-08-21T22:01:15.792952,high,BR,SAP
83,COMP-ALERT-10083,regulatory_review,resolved,team_b,2025-03-06T22:01:15.792952,2025-03-16T22:01:15.792952,high,MEX,SAP
84,COMP-ALERT-10084,missing_document,resolved,team_c,2025-09-07T22:01:15.792952,2025-09-14T22:01:15.792952,medium,LATAM,Internal_Tracker
85,COMP-ALERT-10085,regulatory_review,in_progress,external_partner,2025-10-08T22:01:15.792952,2025-10-15T22:01:15.792952,high,LATAM,SAP
86,COMP-ALERT-10086,invoice_discrepancy,resolved,team_a,2025-05-18T22:01:15.792952,2025-05-31T22:01:15.792952,low,LATAM,SAP
87,COMP-ALERT-10087,regulatory_review,resolved,team_a,2024-11-30T22:01:15.792952,2024-12-06T22:01:15.792952,critical,MEX,Internal_Tracker
88,COMP-ALERT-10088,missing_document,resolved,team_a,2025-03-21T22:01:15.792952,2025-03-29T22:01:15.792952,medium,MEX,SAP
89,COMP-ALERT-10089,regulatory_review,open,team_b,2025-10-02T22:01:15.792952,2025-10-10T22:01:15.792952,high,LATAM,Internal_Tracker
90,COMP-ALERT-10090,tax_incident,open,team_b,2025-06-04T22:01:15.792952,2025-06-15T22:01:15.792952,medium,MEX,Vendor_API
91,COMP-ALERT-10091,missing_document,resolved,external_partner,2025-05-14T22:01:15.792952,2025-05-26T22:01:15.792952,low,BR,SAP
92,COMP-ALERT-10092,invoice_discrepancy,resolved,team_b,2025-08-11T22:01:15.792952,2025-08-22T22:01:15.792952,low,LATAM,Internal_Tracker
93,COMP-ALERT-10093,missing_document,open,team_b,2025-06-27T22:01:15.792952,2025-07-02T22:01:15.792952,medium,LATAM,SAP
94,COMP-ALERT-10094,missing_document,open,team_a,2025-02-06T22:01:15.792952,2025-02-17T22:01:15.792952,low,LATAM,Internal_Tracker
95,COMP-ALERT-10095,missing_document,in_progress,team_b,2025-07-12T22:01:15.792952,2025-07-15T22:01:15.792952,low,BR,SAP
96,COMP-ALERT-10096,missing_document,open,team_a,2025-09-01T22:01:15.792952,2025-09-03T22:01:15.792952,critical,BR,Vendor_API
97,COMP-ALERT-10097,missing_document,in_progress,team_c,2025-07-12T22:01:15.792952,2025-07-15T22:01:15.792952,critical,LATAM,SAP
98,COMP-ALERT-10098,missing_document,resolved,team_a,2025-02-04T22:01:15.792952,2025-02-09T22:01:15.792952,medium,LATAM,Internal_Tracker
99,COMP-ALERT-10099,missing_document,in_progress,external_partner,2024-10-26T22:01:15.792952,2024-11-10T22:01:15.792952,high,BR,Vendor_API
